ano,mes,nome_mes,estacao,regiao,cid_principal,desc_cid,total_internacoes,custo_total,ticket_medio,media_dias
2022,1,Janeiro,Verão,Nordeste,E11,Diabetes Mellitus Tipo 2,29,112456.44,3877.81,4.5
2022,1,Janeiro,Verão,Sul,E11,Diabetes Mellitus Tipo 2,33,119812.45,3630.68,5.2
2022,1,Janeiro,Verão,Sudeste,F32,Episódio Depressivo,64,272923.74,4264.43,4.6
2022,1,Janeiro,Verão,Centro-Oeste,F32,Episódio Depressivo,5,20629.98,4126.0,10.0
2022,1,Janeiro,Verão,Sul,F32,Episódio Depressivo,29,130456.37,4498.5,6.1
2022,1,Janeiro,Verão,Nordeste,F32,Episódio Depressivo,21,99328.58,4729.93,4.5
2022,1,Janeiro,Verão,Sul,G40,Epilepsia,21,112065.26,5336.44,3.8
2022,1,Janeiro,Verão,Centro-Oeste,G40,Epilepsia,1,2709.66,2709.66,9.0
2022,1,Janeiro,Verão,Sudeste,G40,Epilepsia,54,309219.73,5726.29,5.0
2022,1,Janeiro,Verão,Nordeste,G40,Epilepsia,14,76580.87,5470.06,5.8
2022,1,Janeiro,Verão,Centro-Oeste,I21,Infarto Agudo do Miocárdio,11,229043.83,20822.17,2.8
2022,1,Janeiro,Verão,Sul,I21,Infarto Agudo do Miocárdio,19,392373.59,20651.24,5.3
2022,1,Janeiro,Verão,Nordeste,I21,Infarto Agudo do Miocárdio,26,515718.77,19835.34,5.6
2022,1,Janeiro,Verão,Sudeste,I21,Infarto Agudo do Miocárdio,96,1961217.85,20429.35,5.4
2022,1,Janeiro,Verão,Nordeste,I64,Acidente Vascular Cerebral,14,208742.16,14910.15,3.8
2022,1,Janeiro,Verão,Sudeste,I64,Acidente Vascular Cerebral,57,739936.61,12981.34,4.9
2022,1,Janeiro,Verão,Centro-Oeste,I64,Acidente Vascular Cerebral,3,37348.56,12449.52,2.0
2022,1,Janeiro,Verão,Sul,I64,Acidente Vascular Cerebral,26,336033.71,12924.37,6.2
2022,1,Janeiro,Verão,Nordeste,J18,Pneumonia,41,192367.6,4691.89,4.6
2022,1,Janeiro,Verão,Sudeste,J18,Pneumonia,146,679633.2,4655.02,5.0
2022,1,Janeiro,Verão,Sul,J18,Pneumonia,51,230393.7,4517.52,4.9
2022,1,Janeiro,Verão,Centro-Oeste,J18,Pneumonia,16,84367.02,5272.94,6.3
2022,1,Janeiro,Verão,Sudeste,J44,DPOC,62,369259.29,5955.8,4.9
2022,1,Janeiro,Verão,Sul,J44,DPOC,17,106544.06,6267.3,5.9
2022,1,Janeiro,Verão,Nordeste,J44,DPOC,15,89464.69,5964.31,4.8
2022,1,Janeiro,Verão,Centro-Oeste,J44,DPOC,1,5869.8,5869.8,4.0
2022,1,Janeiro,Verão,Sudeste,K35,Apendicite Aguda,75,585594.81,7807.93,4.9
2022,1,Janeiro,Verão,Nordeste,K35,Apendicite Aguda,23,184685.43,8029.8,4.3
2022,1,Janeiro,Verão,Centro-Oeste,K35,Apendicite Aguda,5,40455.59,8091.12,5.0
2022,1,Janeiro,Verão,Sul,K35,Apendicite Aguda,22,153507.01,6977.59,5.4
2022,1,Janeiro,Verão,Sul,M54,Dorsalgia,13,39717.17,3055.17,3.5
2022,1,Janeiro,Verão,Sudeste,M54,Dorsalgia,44,139387.34,3167.89,4.6
2022,1,Janeiro,Verão,Centro-Oeste,M54,Dorsalgia,4,11336.1,2834.03,4.8
2022,1,Janeiro,Verão,Nordeste,M54,Dorsalgia,25,72483.39,2899.34,5.4
2022,1,Janeiro,Verão,Nordeste,N39,Infecção Urinária,30,62809.95,2093.67,4.4
2022,1,Janeiro,Verão,Sudeste,N39,Infecção Urinária,84,161564.87,1923.39,5.2
2022,1,Janeiro,Verão,Sul,N39,Infecção Urinária,31,59353.21,1914.62,4.5
2022,1,Janeiro,Verão,Centro-Oeste,N39,Infecção Urinária,10,19385.49,1938.55,4.7
2022,1,Janeiro,Verão,Sul,O80,Parto Normal,33,101836.91,3085.97,5.3
2022,1,Janeiro,Verão,Centro-Oeste,O80,Parto Normal,7,21601.17,3085.88,5.1
2022,1,Janeiro,Verão,Nordeste,O80,Parto Normal,36,114846.51,3190.18,4.4
2022,1,Janeiro,Verão,Sudeste,O80,Parto Normal,92,276963.49,3010.47,4.5
2022,2,Fevereiro,Verão,Sul,A09,Diarreia e Gastroenterite,28,45031.93,1608.28,4.4
2022,2,Fevereiro,Verão,Sudeste,A09,Diarreia e Gastroenterite,78,120614.19,1546.34,5.2
2022,2,Fevereiro,Verão,Nordeste,A09,Diarreia e Gastroenterite,28,41898.5,1496.38,4.3
2022,2,Fevereiro,Verão,Centro-Oeste,A09,Diarreia e Gastroenterite,8,13453.17,1681.65,4.6
2022,2,Fevereiro,Verão,Centro-Oeste,A90,Dengue,10,25028.45,2502.84,4.9
2022,2,Fevereiro,Verão,Nordeste,A90,Dengue,23,56213.08,2444.05,4.6
2022,2,Fevereiro,Verão,Sudeste,A90,Dengue,70,184088.8,2629.84,4.5
2022,2,Fevereiro,Verão,Sul,A90,Dengue,22,54977.8,2498.99,6.7
2022,2,Fevereiro,Verão,Nordeste,B24,Doença pelo HIV,10,82772.54,8277.25,3.2
2022,2,Fevereiro,Verão,Sul,B24,Doença pelo HIV,9,66380.4,7375.6,3.4
2022,2,Fevereiro,Verão,Sudeste,B24,Doença pelo HIV,30,267325.41,8910.85,5.0
2022,2,Fevereiro,Verão,Centro-Oeste,B24,Doença pelo HIV,4,39126.72,9781.68,4.8
2022,2,Fevereiro,Verão,Nordeste,C50,Neoplasia Maligna da Mama,18,488766.14,27153.67,4.8
2022,2,Fevereiro,Verão,Sudeste,C50,Neoplasia Maligna da Mama,52,1300117.84,25002.27,5.6
2022,2,Fevereiro,Verão,Centro-Oeste,C50,Neoplasia Maligna da Mama,1,20404.86,20404.86,14.0
2022,2,Fevereiro,Verão,Sul,C50,Neoplasia Maligna da Mama,13,320673.77,24667.21,5.1
2022,2,Fevereiro,Verão,Sudeste,E11,Diabetes Mellitus Tipo 2,91,333974.02,3670.04,5.4
2022,2,Fevereiro,Verão,Nordeste,E11,Diabetes Mellitus Tipo 2,21,80965.05,3855.48,5.6
2022,2,Fevereiro,Verão,Centro-Oeste,E11,Diabetes Mellitus Tipo 2,9,33906.94,3767.44,6.9
2022,2,Fevereiro,Verão,Sul,E11,Diabetes Mellitus Tipo 2,28,105764.6,3777.31,5.8
2022,2,Fevereiro,Verão,Nordeste,F32,Episódio Depressivo,23,100759.68,4380.86,6.7
2022,2,Fevereiro,Verão,Centro-Oeste,F32,Episódio Depressivo,4,21618.13,5404.53,2.5
2022,2,Fevereiro,Verão,Sul,F32,Episódio Depressivo,26,98429.49,3785.75,4.6
2022,2,Fevereiro,Verão,Sudeste,F32,Episódio Depressivo,57,231251.46,4057.04,5.3
2022,2,Fevereiro,Verão,Centro-Oeste,G40,Epilepsia,4,24471.03,6117.76,3.0
2022,2,Fevereiro,Verão,Nordeste,G40,Epilepsia,24,132764.32,5531.85,7.7
2022,2,Fevereiro,Verão,Sul,G40,Epilepsia,26,145286.08,5587.93,5.0
2022,2,Fevereiro,Verão,Sudeste,G40,Epilepsia,55,292101.19,5310.93,5.1
2022,2,Fevereiro,Verão,Nordeste,I21,Infarto Agudo do Miocárdio,29,548665.05,18919.48,4.9
2022,2,Fevereiro,Verão,Sul,I21,Infarto Agudo do Miocárdio,31,606710.83,19571.32,6.1
2022,2,Fevereiro,Verão,Sudeste,I21,Infarto Agudo do Miocárdio,81,1624152.18,20051.26,5.2
2022,2,Fevereiro,Verão,Centro-Oeste,I21,Infarto Agudo do Miocárdio,4,85241.73,21310.43,2.3
2022,2,Fevereiro,Verão,Sul,I64,Acidente Vascular Cerebral,17,264494.45,15558.5,4.5
2022,2,Fevereiro,Verão,Nordeste,I64,Acidente Vascular Cerebral,25,366881.32,14675.25,4.1
2022,2,Fevereiro,Verão,Centro-Oeste,I64,Acidente Vascular Cerebral,4,47698.06,11924.52,6.3
2022,2,Fevereiro,Verão,Sudeste,I64,Acidente Vascular Cerebral,74,1010950.35,13661.49,5.1
2022,2,Fevereiro,Verão,Nordeste,J18,Pneumonia,43,196745.52,4575.48,4.6
2022,2,Fevereiro,Verão,Sudeste,J18,Pneumonia,112,542882.9,4847.17,5.1
2022,2,Fevereiro,Verão,Sul,J18,Pneumonia,35,179495.51,5128.44,4.3
2022,2,Fevereiro,Verão,Centro-Oeste,J18,Pneumonia,18,89826.42,4990.36,3.6
2022,2,Fevereiro,Verão,Centro-Oeste,J44,DPOC,6,41848.12,6974.69,6.2
2022,2,Fevereiro,Verão,Sudeste,J44,DPOC,49,275940.67,5631.44,4.9
2022,2,Fevereiro,Verão,Nordeste,J44,DPOC,18,96567.5,5364.86,3.9
2022,2,Fevereiro,Verão,Sul,J44,DPOC,22,123469.1,5612.23,6.7
2022,2,Fevereiro,Verão,Centro-Oeste,K35,Apendicite Aguda,1,8948.15,8948.15,4.0
2022,2,Fevereiro,Verão,Nordeste,K35,Apendicite Aguda,19,145076.15,7635.59,4.7
2022,2,Fevereiro,Verão,Sul,K35,Apendicite Aguda,18,128967.44,7164.86,3.9
2022,2,Fevereiro,Verão,Sudeste,K35,Apendicite Aguda,52,391578.46,7530.35,6.3
2022,2,Fevereiro,Verão,Centro-Oeste,M54,Dorsalgia,5,14171.88,2834.38,5.0
2022,2,Fevereiro,Verão,Sul,M54,Dorsalgia,20,60230.56,3011.53,4.2
2022,2,Fevereiro,Verão,Sudeste,M54,Dorsalgia,55,164707.11,2994.67,4.9
2022,2,Fevereiro,Verão,Nordeste,M54,Dorsalgia,14,41227.5,2944.82,5.6
2022,2,Fevereiro,Verão,Sudeste,N39,Infecção Urinária,105,212530.85,2024.1,4.7
2022,2,Fevereiro,Verão,Nordeste,N39,Infecção Urinária,42,83601.42,1990.51,5.4
2022,2,Fevereiro,Verão,Sul,N39,Infecção Urinária,27,62660.46,2320.76,5.3
2022,2,Fevereiro,Verão,Centro-Oeste,N39,Infecção Urinária,4,9563.25,2390.81,3.0
2022,2,Fevereiro,Verão,Sudeste,O80,Parto Normal,116,350705.74,3023.33,5.1
2022,2,Fevereiro,Verão,Sul,O80,Parto Normal,35,106210.5,3034.59,4.3
2022,2,Fevereiro,Verão,Nordeste,O80,Parto Normal,30,92101.37,3070.05,4.9
2022,2,Fevereiro,Verão,Centro-Oeste,O80,Parto Normal,12,36451.36,3037.61,2.5
2022,3,Março,Outono,Nordeste,A09,Diarreia e Gastroenterite,24,37590.1,1566.25,5.1
2022,3,Março,Outono,Centro-Oeste,A09,Diarreia e Gastroenterite,8,13611.79,1701.47,5.1
2022,3,Março,Outono,Sul,A09,Diarreia e Gastroenterite,25,37962.5,1518.5,5.4
2022,3,Março,Outono,Sudeste,A09,Diarreia e Gastroenterite,77,112949.14,1466.87,5.6
2022,3,Março,Outono,Nordeste,A90,Dengue,24,60016.87,2500.7,6.1
2022,3,Março,Outono,Centro-Oeste,A90,Dengue,14,36632.69,2616.62,6.6
2022,3,Março,Outono,Sudeste,A90,Dengue,88,220043.72,2500.5,4.7
2022,3,Março,Outono,Sul,A90,Dengue,35,97223.44,2777.81,5.5
2022,3,Março,Outono,Sudeste,B24,Doença pelo HIV,35,301914.66,8626.13,5.1
2022,3,Março,Outono,Centro-Oeste,B24,Doença pelo HIV,2,19420.13,9710.07,2.5
2022,3,Março,Outono,Nordeste,B24,Doença pelo HIV,17,130814.31,7694.96,3.5
2022,3,Março,Outono,Sul,B24,Doença pelo HIV,13,108769.77,8366.91,6.6
2022,3,Março,Outono,Sudeste,C50,Neoplasia Maligna da Mama,38,872959.8,22972.63,5.2
2022,3,Março,Outono,Centro-Oeste,C50,Neoplasia Maligna da Mama,2,40296.9,20148.45,6.5
2022,3,Março,Outono,Nordeste,C50,Neoplasia Maligna da Mama,18,445779.79,24765.54,2.9
2022,3,Março,Outono,Sul,C50,Neoplasia Maligna da Mama,12,363955.85,30329.65,3.8
2022,3,Março,Outono,Sul,E11,Diabetes Mellitus Tipo 2,28,99462.67,3552.24,4.8
2022,3,Março,Outono,Nordeste,E11,Diabetes Mellitus Tipo 2,29,104014.48,3586.71,5.7
2022,3,Março,Outono,Sudeste,E11,Diabetes Mellitus Tipo 2,74,274184.15,3705.19,4.7
2022,3,Março,Outono,Centro-Oeste,E11,Diabetes Mellitus Tipo 2,5,21126.67,4225.33,3.4
2022,3,Março,Outono,Centro-Oeste,F32,Episódio Depressivo,3,11588.98,3862.99,9.3
2022,3,Março,Outono,Nordeste,F32,Episódio Depressivo,21,86414.68,4114.98,5.5
2022,3,Março,Outono,Sul,F32,Episódio Depressivo,22,91353.5,4152.43,5.7
2022,3,Março,Outono,Sudeste,F32,Episódio Depressivo,41,157443.76,3840.09,5.0
2022,3,Março,Outono,Sudeste,G40,Epilepsia,45,237024.32,5267.21,4.4
2022,3,Março,Outono,Centro-Oeste,G40,Epilepsia,9,51951.65,5772.41,4.9
2022,3,Março,Outono,Nordeste,G40,Epilepsia,19,99770.95,5251.1,6.2
2022,3,Março,Outono,Sul,G40,Epilepsia,16,90748.32,5671.77,4.9
2022,3,Março,Outono,Nordeste,I21,Infarto Agudo do Miocárdio,34,659132.78,19386.26,5.2
2022,3,Março,Outono,Sul,I21,Infarto Agudo do Miocárdio,31,582360.72,18785.83,6.5
2022,3,Março,Outono,Centro-Oeste,I21,Infarto Agudo do Miocárdio,8,173474.07,21684.26,5.0
2022,3,Março,Outono,Sudeste,I21,Infarto Agudo do Miocárdio,86,1613370.06,18760.12,5.5
2022,3,Março,Outono,Nordeste,I64,Acidente Vascular Cerebral,23,298839.2,12993.01,5.0
2022,3,Março,Outono,Sul,I64,Acidente Vascular Cerebral,19,245111.05,12900.58,3.9
2022,3,Março,Outono,Sudeste,I64,Acidente Vascular Cerebral,62,849591.2,13703.08,5.5
2022,3,Março,Outono,Centro-Oeste,I64,Acidente Vascular Cerebral,8,88413.23,11051.65,4.9
2022,3,Março,Outono,Sul,J18,Pneumonia,43,211733.36,4924.03,5.0
2022,3,Março,Outono,Nordeste,J18,Pneumonia,47,226906.91,4827.81,5.0
2022,3,Março,Outono,Sudeste,J18,Pneumonia,105,500305.17,4764.81,5.5
2022,3,Março,Outono,Centro-Oeste,J18,Pneumonia,10,35084.32,3508.43,4.6
2022,3,Março,Outono,Nordeste,J44,DPOC,23,133727.85,5814.25,5.7
2022,3,Março,Outono,Sudeste,J44,DPOC,48,302738.59,6307.05,4.6
2022,3,Março,Outono,Centro-Oeste,J44,DPOC,4,30670.17,7667.54,5.3
2022,3,Março,Outono,Sul,J44,DPOC,19,110340.46,5807.39,5.5
2022,3,Março,Outono,Sul,K35,Apendicite Aguda,28,225349.34,8048.19,6.4
2022,3,Março,Outono,Sudeste,K35,Apendicite Aguda,56,425656.14,7601.0,4.7
2022,3,Março,Outono,Nordeste,K35,Apendicite Aguda,26,192957.51,7421.44,6.4
2022,3,Março,Outono,Centro-Oeste,K35,Apendicite Aguda,6,48164.55,8027.43,3.5
2022,3,Março,Outono,Nordeste,M54,Dorsalgia,24,66273.94,2761.41,5.4
2022,3,Março,Outono,Sul,M54,Dorsalgia,16,47207.08,2950.44,4.3
2022,3,Março,Outono,Sudeste,M54,Dorsalgia,36,110124.77,3059.02,4.8
2022,3,Março,Outono,Centro-Oeste,M54,Dorsalgia,5,14828.51,2965.7,5.2
2022,3,Março,Outono,Nordeste,N39,Infecção Urinária,28,53249.66,1901.77,5.8
2022,3,Março,Outono,Centro-Oeste,N39,Infecção Urinária,5,9745.83,1949.17,4.8
2022,3,Março,Outono,Sudeste,N39,Infecção Urinária,88,182861.53,2077.97,4.9
2022,3,Março,Outono,Sul,N39,Infecção Urinária,40,83083.76,2077.09,4.5
2022,3,Março,Outono,Centro-Oeste,O80,Parto Normal,6,18493.43,3082.24,6.0
2022,3,Março,Outono,Sul,O80,Parto Normal,38,120557.64,3172.57,4.9
2022,3,Março,Outono,Nordeste,O80,Parto Normal,49,151176.75,3085.24,5.1
2022,3,Março,Outono,Sudeste,O80,Parto Normal,94,288407.11,3068.16,5.0
2022,4,Abril,Outono,Centro-Oeste,A09,Diarreia e Gastroenterite,4,4156.56,1039.14,4.8
2022,4,Abril,Outono,Nordeste,A09,Diarreia e Gastroenterite,28,29118.96,1039.96,5.4
2022,4,Abril,Outono,Sul,A09,Diarreia e Gastroenterite,15,15605.3,1040.35,5.5
2022,4,Abril,Outono,Sudeste,A09,Diarreia e Gastroenterite,65,72577.02,1116.57,6.0
2022,4,Abril,Outono,Centro-Oeste,A90,Dengue,9,17899.32,1988.81,3.8
2022,4,Abril,Outono,Sul,A90,Dengue,23,42457.74,1845.99,5.3
2022,4,Abril,Outono,Sudeste,A90,Dengue,75,129401.16,1725.35,4.8
2022,4,Abril,Outono,Nordeste,A90,Dengue,34,62302.82,1832.44,5.3
2022,4,Abril,Outono,Sul,B24,Doença pelo HIV,11,63054.66,5732.24,7.3
2022,4,Abril,Outono,Centro-Oeste,B24,Doença pelo HIV,1,7570.49,7570.49,7.0
2022,4,Abril,Outono,Sudeste,B24,Doença pelo HIV,34,207700.81,6108.85,5.1
2022,4,Abril,Outono,Nordeste,B24,Doença pelo HIV,14,81442.83,5817.35,6.1
2022,4,Abril,Outono,Sul,C50,Neoplasia Maligna da Mama,13,236831.74,18217.83,6.6
2022,4,Abril,Outono,Nordeste,C50,Neoplasia Maligna da Mama,14,261797.84,18699.85,4.4
2022,4,Abril,Outono,Centro-Oeste,C50,Neoplasia Maligna da Mama,4,61500.25,15375.06,6.8
2022,4,Abril,Outono,Sudeste,C50,Neoplasia Maligna da Mama,46,807480.41,17553.92,3.9
2022,4,Abril,Outono,Sul,E11,Diabetes Mellitus Tipo 2,29,76292.9,2630.79,4.7
2022,4,Abril,Outono,Sudeste,E11,Diabetes Mellitus Tipo 2,85,230866.72,2716.08,5.4
2022,4,Abril,Outono,Centro-Oeste,E11,Diabetes Mellitus Tipo 2,8,20335.61,2541.95,4.1
2022,4,Abril,Outono,Nordeste,E11,Diabetes Mellitus Tipo 2,21,56658.45,2698.02,4.0
2022,4,Abril,Outono,Sul,F32,Episódio Depressivo,27,85472.89,3165.66,4.6
2022,4,Abril,Outono,Centro-Oeste,F32,Episódio Depressivo,3,6671.0,2223.67,4.3
2022,4,Abril,Outono,Nordeste,F32,Episódio Depressivo,14,41479.16,2962.8,2.9
2022,4,Abril,Outono,Sudeste,F32,Episódio Depressivo,52,156178.89,3003.44,4.7
2022,4,Abril,Outono,Sul,G40,Epilepsia,12,48466.27,4038.86,6.3
2022,4,Abril,Outono,Nordeste,G40,Epilepsia,11,48600.21,4418.2,4.7
2022,4,Abril,Outono,Centro-Oeste,G40,Epilepsia,4,14529.55,3632.39,7.8
2022,4,Abril,Outono,Sudeste,G40,Epilepsia,54,190661.82,3530.77,5.9
2022,4,Abril,Outono,Sudeste,I21,Infarto Agudo do Miocárdio,80,1131301.94,14141.27,5.4
2022,4,Abril,Outono,Centro-Oeste,I21,Infarto Agudo do Miocárdio,4,62977.88,15744.47,1.8
2022,4,Abril,Outono,Nordeste,I21,Infarto Agudo do Miocárdio,27,362429.74,13423.32,5.4
2022,4,Abril,Outono,Sul,I21,Infarto Agudo do Miocárdio,32,464267.19,14508.35,4.3
2022,4,Abril,Outono,Sudeste,I64,Acidente Vascular Cerebral,61,557236.79,9135.03,4.1
2022,4,Abril,Outono,Nordeste,I64,Acidente Vascular Cerebral,26,241128.91,9274.19,4.2
2022,4,Abril,Outono,Centro-Oeste,I64,Acidente Vascular Cerebral,6,55187.74,9197.96,6.3
2022,4,Abril,Outono,Sul,I64,Acidente Vascular Cerebral,31,287454.61,9272.73,3.9
2022,4,Abril,Outono,Centro-Oeste,J18,Pneumonia,14,42780.88,3055.78,5.6
2022,4,Abril,Outono,Nordeste,J18,Pneumonia,39,132073.81,3386.51,7.1
2022,4,Abril,Outono,Sul,J18,Pneumonia,40,130908.01,3272.7,5.1
2022,4,Abril,Outono,Sudeste,J18,Pneumonia,118,409786.21,3472.76,5.6
2022,4,Abril,Outono,Sul,J44,DPOC,16,72738.48,4546.16,4.8
2022,4,Abril,Outono,Sudeste,J44,DPOC,57,244526.17,4289.93,5.9
2022,4,Abril,Outono,Nordeste,J44,DPOC,17,68311.14,4018.3,3.9
2022,4,Abril,Outono,Centro-Oeste,J44,DPOC,5,15987.31,3197.46,4.4
2022,4,Abril,Outono,Sudeste,K35,Apendicite Aguda,77,389403.31,5057.19,4.8
2022,4,Abril,Outono,Centro-Oeste,K35,Apendicite Aguda,6,34467.4,5744.57,6.8
2022,4,Abril,Outono,Sul,K35,Apendicite Aguda,19,103079.83,5425.25,5.7
2022,4,Abril,Outono,Nordeste,K35,Apendicite Aguda,14,73373.17,5240.94,5.7
2022,4,Abril,Outono,Sudeste,M54,Dorsalgia,64,134330.58,2098.92,5.5
2022,4,Abril,Outono,Sul,M54,Dorsalgia,23,50951.85,2215.3,4.2
2022,4,Abril,Outono,Centro-Oeste,M54,Dorsalgia,3,8358.28,2786.09,5.3
2022,4,Abril,Outono,Nordeste,M54,Dorsalgia,14,31167.33,2226.24,7.1
2022,4,Abril,Outono,Sudeste,N39,Infecção Urinária,112,154449.55,1379.01,5.5
2022,4,Abril,Outono,Nordeste,N39,Infecção Urinária,39,57106.01,1464.26,5.0
2022,4,Abril,Outono,Sul,N39,Infecção Urinária,24,34059.54,1419.15,6.4
2022,4,Abril,Outono,Centro-Oeste,N39,Infecção Urinária,5,6950.52,1390.1,5.0
2022,4,Abril,Outono,Nordeste,O80,Parto Normal,35,79888.84,2282.54,5.8
2022,4,Abril,Outono,Sudeste,O80,Parto Normal,102,219307.27,2150.07,5.3
2022,4,Abril,Outono,Centro-Oeste,O80,Parto Normal,13,28916.14,2224.32,4.3
2022,4,Abril,Outono,Sul,O80,Parto Normal,38,78374.27,2062.48,4.8
2022,5,Maio,Outono,Sudeste,A09,Diarreia e Gastroenterite,79,85392.01,1080.91,4.7
2022,5,Maio,Outono,Nordeste,A09,Diarreia e Gastroenterite,27,27846.04,1031.33,4.8
2022,5,Maio,Outono,Sul,A09,Diarreia e Gastroenterite,21,21828.52,1039.45,5.7
2022,5,Maio,Outono,Centro-Oeste,A09,Diarreia e Gastroenterite,5,4654.24,930.85,2.6
2022,5,Maio,Outono,Sul,A90,Dengue,22,40846.18,1856.64,3.9
2022,5,Maio,Outono,Nordeste,A90,Dengue,23,42058.31,1828.62,5.6
2022,5,Maio,Outono,Centro-Oeste,A90,Dengue,5,7087.92,1417.58,2.6
2022,5,Maio,Outono,Sudeste,A90,Dengue,64,115698.14,1807.78,5.7
2022,5,Maio,Outono,Sul,B24,Doença pelo HIV,15,85071.91,5671.46,4.8
2022,5,Maio,Outono,Sudeste,B24,Doença pelo HIV,36,205810.49,5716.96,5.4
2022,5,Maio,Outono,Nordeste,B24,Doença pelo HIV,11,70355.49,6395.95,4.5
2022,5,Maio,Outono,Centro-Oeste,B24,Doença pelo HIV,1,5136.35,5136.35,15.0
2022,5,Maio,Outono,Nordeste,C50,Neoplasia Maligna da Mama,13,240278.54,18482.96,5.8
2022,5,Maio,Outono,Centro-Oeste,C50,Neoplasia Maligna da Mama,3,62826.2,20942.07,4.3
2022,5,Maio,Outono,Sudeste,C50,Neoplasia Maligna da Mama,36,616197.63,17116.6,6.0
2022,5,Maio,Outono,Sul,C50,Neoplasia Maligna da Mama,19,328246.77,17276.15,5.4
2022,5,Maio,Outono,Nordeste,E11,Diabetes Mellitus Tipo 2,32,94664.59,2958.27,5.3
2022,5,Maio,Outono,Sudeste,E11,Diabetes Mellitus Tipo 2,82,207521.04,2530.74,5.3
2022,5,Maio,Outono,Centro-Oeste,E11,Diabetes Mellitus Tipo 2,7,20933.7,2990.53,7.3
2022,5,Maio,Outono,Sul,E11,Diabetes Mellitus Tipo 2,16,44631.85,2789.49,5.2
2022,5,Maio,Outono,Centro-Oeste,F32,Episódio Depressivo,6,16438.58,2739.76,8.5
2022,5,Maio,Outono,Nordeste,F32,Episódio Depressivo,25,76679.13,3067.17,4.0
2022,5,Maio,Outono,Sul,F32,Episódio Depressivo,20,64704.21,3235.21,5.3
2022,5,Maio,Outono,Sudeste,F32,Episódio Depressivo,53,159224.41,3004.23,5.5
2022,5,Maio,Outono,Sudeste,G40,Epilepsia,50,196318.81,3926.38,4.5
2022,5,Maio,Outono,Sul,G40,Epilepsia,14,59897.82,4278.42,5.0
2022,5,Maio,Outono,Nordeste,G40,Epilepsia,16,64790.9,4049.43,6.1
2022,5,Maio,Outono,Centro-Oeste,G40,Epilepsia,3,11586.24,3862.08,7.0
2022,5,Maio,Outono,Sul,I21,Infarto Agudo do Miocárdio,25,388940.03,15557.6,5.4
2022,5,Maio,Outono,Nordeste,I21,Infarto Agudo do Miocárdio,31,462316.77,14913.44,5.8
2022,5,Maio,Outono,Sudeste,I21,Infarto Agudo do Miocárdio,101,1465486.22,14509.76,4.5
2022,5,Maio,Outono,Centro-Oeste,I21,Infarto Agudo do Miocárdio,7,93150.01,13307.14,6.0
2022,5,Maio,Outono,Sul,I64,Acidente Vascular Cerebral,19,201069.16,10582.59,5.8
2022,5,Maio,Outono,Nordeste,I64,Acidente Vascular Cerebral,19,174587.9,9188.84,4.2
2022,5,Maio,Outono,Sudeste,I64,Acidente Vascular Cerebral,56,533358.12,9524.25,5.3
2022,5,Maio,Outono,Centro-Oeste,I64,Acidente Vascular Cerebral,5,33378.8,6675.76,3.0
2022,5,Maio,Outono,Sudeste,J18,Pneumonia,111,364287.83,3281.87,5.0
2022,5,Maio,Outono,Nordeste,J18,Pneumonia,43,136647.1,3177.84,4.6
2022,5,Maio,Outono,Sul,J18,Pneumonia,50,170123.13,3402.46,4.3
2022,5,Maio,Outono,Centro-Oeste,J18,Pneumonia,7,22861.6,3265.94,5.0
